music_name
1999
99 Luftballons
A Little Less Conversation - JXL Radio Edit Remix
A Place for My Head
Afraid of Heights
Africa
Afterlife
Alive
All These Things I Hate (Revolve Around Me)
All in the Suit That You Wear
All or Nothing (feat. Axel Ehnström) - Deluxe Mix
Always
Angry Chair
Anthem
Anthem of Our Dying Day
Are You Gonna Be My Girl
As I Sleep (feat. Charlee)
Ashes to Ashes
Back Where I Belong (feat. Avicii)
Bat Country
Beautiful Night
Bennie And The Jets - Remastered 2014
Blackout
Bleed American
Blow
Body Rock
Bottom Of The Sea
Bottom of a Bottle
Break Stuff
Brimful of Asha - Norman Cook Remix
Butterfly
California Dreamin'
Car Underwater
Children Of Today
Clap Your Hands
Click Click Boom
Come Out And Play (Keep ‘Em Separated)
Coming Undone
Count On You - ATFC's C-thru Remix
Count That - R3HAB Edit
Crazy
Crazy Horses
Crystal Baller - 2006 Remaster
Dance Little Sister
Dancing Through Sunday
Dani California
Do Bad Well (feat. Nevve)
Don't Stop
Don't Stop Me Now - 2011 Mix
Don't You (Forget About Me) - Remastered
Dreams Tonite
Driver's Seat
Duck And Run
EDM Sux
Easy Lover
Edge of Seventeen
Electronic Memories (feat. Mickey Kojak)
Enemy
Every Way
Everyday People
Expedition
Faces
Fantasy - R3HAB Remix
Fascination
Feeling This
Flex
Free
Freya
Friday I'm In Love
Game Time (feat. Ninja)
Gasoline
Geno - 2000 Remaster
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
Get Up Offa That Thing
Go With The Flow
Gone My Way - KhoMha Remix
Good Times
Groove Is in the Heart
Groovin
Guernica
Handful Of Redemption
Happy Ending
Hash Pipe
Heaven - David Guetta & MORTEN Remix
Heavy
Highway to Hell
Holding On
Holy Water
Home
"Honey, This Mirror Isn't Big Enough for the Two of Us"
How Bizarre
Human Connection
Humans (Let Me Love You)
I Was Made For Lovin' You
I Would Die 4 U
ID8
Inside the Fire
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn)
Just Can't Get Enough - Live in Hammersmith
Killing In The Name
Kiss
Kiss On My List - Remastered
Kiss You All Over - Single Edit
Last Time
Late in the Evening
Lay Your Head On Me (feat. Marcus Mumford)
Let's Go Crazy
Lift Me Up (feat. Carla Monroe)
Like The First Time - House Mix
Like The Way I Do
Like We Do
Listen to the Music
Little Lion Man
Little Talks
"Lola - Live at Providence Civic Center, Providence, RI - September 1979"
Lonely Boy
Lovely Day
Mad About You
Me and Julio Down by the Schoolyard
Message In A Bottle - Remastered 2003
Midnight Sun
Miss You - Remastered
Mr. Jones
My Hero
My Own Worst Enemy
My Sharona
My Way - Marcus Santoro Remix
Need You - Ed. & Gustav Munk Remix
Never Be Lonely (feat. Envy Monroe)
No More 54
No One Knows
Not Alone
Nowhere Kids
On My Way (feat. Jordan Kaahn)
One More Night
One Night - D.O.D Remix
One Step Closer
Our Lady of Sorrows
Out Of Control - Pat Vocal Mix
Over My Head (Better Off Dead)
Pain
Paperthin Hymn
Paralyzer
Pass The Hours
Pink Rupture
Points of Authority
Polyamorous
Pressure
Promise
Pumped Up Kicks
Reality
Reinventing Your Exit
Renegades Of Funk
Rescue Me
Ring The Alarm - Stadiumx Remix
Roses
Rusted From the Rain
Savior
Secrets
Send It
Send Me on My Way
Seven Nation Army
Shine
Should I Stay or Should I Go - Remastered
Siren Song - Radio Edit
Smile
Smooth Criminal
Somebody - Josef Bamba Remix Radio Edit
Someone New
South Beach
Start Me Up - Remastered
Stay Here
"Steady, As She Goes"
Story Of A Violin
Stuck In The Middle With You
Stupify
Suds & Soda
Sun In Our Eyes - Don Diablo Remix
Superstition
Swerve City
Take Everything
Take on Me
Talking In Your Sleep
Teardrops - Single Version
Tears Don't Fall
Teenage Dirtbag
Thank You for the Venom
The Boys Are Back In Town
The Hardest Button To Button
The Hell Song
The Hunger
The King (with Dzeko)
The Safety Dance
The Wall
There For You
Tilted Towers
Tubthumping
Twist And Shout - Remastered 2009
Two Princes
Under A Killing Moon
Underwater - Tinlicker Remix
United
Up Against (Blackout)
Uprising
Vagabond
Vamos
Video Killed The Radio Star
Virtual Insanity - Remastered
Viva La Vida
Wait For Me
Waiting On the World to Change
War
Wash It All Away
What I Like About You
White Lies
White Lies - Guy Arthur Remix
Why Can't We Be Friends?
Wild Wild Son - Club Mix
Without
Wonderful Together (feat. Envy Monroe)
Wonderwall
Worlds Collide - Edison Cole Remix
Wrong Way
You Can't Rely on My Love
You Get What You Give
"You're Gonna Go Far, Kid"
You're My Best Friend - Remastered 2011
